Trajectory ID,Step,Current State,Real Action,Next State,Real Reward,Timestep,Possible Action 1,Action 1 Next State,Action 1 Reward,Possible Action 2,Action 2 Next State,Action 2 Reward
1,1,45,6,43,-0.25097227096557617,10,1,42,-1.3429923057556152,5,41,1.5208210945129395,6,43,-0.25097227096557617
1,2,43,0,37,0.31297460198402405,10,6,38,3.8032736778259277,0,37,0.31297460198402405
1,3,37,0,39,-3.936347007751465,10,2,40,-3.112887144088745,0,39,-3.936347007751465
1,4,39,6,75,-3.930757999420166,10,6,75,-3.930757999420166,0,74,10.155985832214355
1,5,75,6,310,1.9921600818634033,10,4,309,9.876124382019043,6,310,1.9921600818634033
1,6,310,6,237,1.5312798023223877,10,6,237,1.5312798023223877,0,236,16.674161911010742
1,7,237,6,233,1.945266842842102,10,4,232,4.905666828155518,6,233,1.945266842842102
1,8,233,6,234,-0.0902281180024147,10,3,235,4.527164459228516,6,234,-0.0902281180024147
1,9,234,7,200,1.352677345275879,10,7,200,1.352677345275879
1,10,200,7,208,1.4597785472869873,10,1,209,10.223592758178711,7,208,1.4597785472869873
1,11,208,7,145,1.9531744718551636,10,1,144,9.614002227783203,7,145,1.9531744718551636
1,12,145,7,146,1.7745310068130493,10,5,147,4.172963619232178,7,146,1.7745310068130493
1,13,146,7,148,1.996678352355957,10,7,148,1.996678352355957
1,14,148,7,227,1.8286685943603516,10,7,227,1.8286685943603516
1,15,227,7,151,1.3969905376434326,10,1,149,5.891015529632568,5,150,4.170672416687012,7,151,1.3969905376434326
1,16,151,7,152,2.429859161376953,10,7,152,2.429859161376953
1,17,152,7,154,1.870274543762207,10,1,153,3.0798091888427734,7,154,1.870274543762207
1,18,154,4,4,2.5003490447998047,10,4,4,2.5003490447998047
2,0,52,7,360,0.47405633330345154,10,6,359,1.329996943473816,7,360,0.47405633330345154
2,1,360,7,0,-1.2527471780776978,10,5,1,2.5010108947753906,7,0,-1.2527471780776978
2,2,0,7,366,1.0773159265518188,10,1,365,2.3805646896362305,7,366,1.0773159265518188
2,3,366,7,351,0.619377613067627,10,5,350,5.982978343963623,7,351,0.619377613067627
2,4,351,0,248,-0.07854100316762924,10,4,247,7.848921775817871,6,249,6.1421990394592285,0,248,-0.07854100316762924
2,5,248,0,30,0.20702673494815826,10,2,31,4.107795715332031,0,30,0.20702673494815826
2,6,30,6,237,-0.45275282859802246,10,6,237,-0.45275282859802246,0,236,11.61733627319336
2,7,237,6,233,1.945266842842102,10,4,232,4.905666828155518,6,233,1.945266842842102
2,8,233,6,234,-0.0902281180024147,10,3,235,4.527164459228516,6,234,-0.0902281180024147
2,9,234,7,200,1.352677345275879,10,7,200,1.352677345275879
2,10,200,7,208,1.4597785472869873,10,1,209,10.223592758178711,7,208,1.4597785472869873
2,11,208,7,145,1.9531744718551636,10,1,144,9.614002227783203,7,145,1.9531744718551636
2,12,145,7,146,1.7745310068130493,10,5,147,4.172963619232178,7,146,1.7745310068130493
2,13,146,7,148,1.996678352355957,10,7,148,1.996678352355957
2,14,148,7,227,1.8286685943603516,10,7,227,1.8286685943603516
2,15,227,7,151,1.3969905376434326,10,1,149,5.891015529632568,5,150,4.170672416687012,7,151,1.3969905376434326
2,16,151,7,152,2.429859161376953,10,7,152,2.429859161376953
2,17,152,7,154,1.870274543762207,10,1,153,3.0798091888427734,7,154,1.870274543762207
2,18,154,4,4,2.5003490447998047,10,4,4,2.5003490447998047
3,0,75,6,310,1.9921600818634033,10,4,309,9.876124382019043,6,310,1.9921600818634033
3,1,310,6,237,1.5312798023223877,10,6,237,1.5312798023223877,0,236,16.674161911010742
3,2,237,6,233,1.945266842842102,10,4,232,4.905666828155518,6,233,1.945266842842102
3,3,233,6,234,-0.0902281180024147,10,3,235,4.527164459228516,6,234,-0.0902281180024147
3,4,234,7,200,1.352677345275879,10,7,200,1.352677345275879
3,5,200,7,208,1.4597785472869873,10,1,209,10.223592758178711,7,208,1.4597785472869873
3,6,208,7,145,1.9531744718551636,10,1,144,9.614002227783203,7,145,1.9531744718551636
3,7,145,7,146,1.7745310068130493,10,5,147,4.172963619232178,7,146,1.7745310068130493
3,8,146,7,148,1.996678352355957,10,7,148,1.996678352355957
3,9,148,7,227,1.8286685943603516,10,7,227,1.8286685943603516
3,10,227,7,151,1.3969905376434326,10,1,149,5.891015529632568,5,150,4.170672416687012,7,151,1.3969905376434326
3,11,151,7,152,2.429859161376953,10,7,152,2.429859161376953
3,12,152,7,154,1.870274543762207,10,1,153,3.0798091888427734,7,154,1.870274543762207
