Trajectory ID,Step,Current State,Real Action,Next State,Real Reward,Timestep,Possible Action 1,Action 1 Next State,Action 1 Reward,Possible Action 2,Action 2 Next State,Action 2 Reward
1,16,151,7,152,0.7010287642478943,10,7,152,0.7010287642478943
1,17,152,7,154,1.1243572235107422,10,1,153,1.2035568952560425,7,154,1.1243572235107422
1,18,154,4,4,0.6592272520065308,10,4,4,0.6592272520065308
2,0,52,7,360,1.0324097871780396,10,6,359,1.0766327381134033,7,360,1.0324097871780396
2,1,360,7,0,1.0877339839935303,10,5,1,1.1270171403884888,7,0,1.0877339839935303
2,2,0,7,366,1.106506586074829,10,1,365,1.1703591346740723,7,366,1.106506586074829
2,3,366,7,351,1.076805591583252,10,5,350,1.0574651956558228,7,351,1.076805591583252
2,4,351,0,248,1.3622522354125977,10,4,247,1.4119423627853394,6,249,1.4218438863754272,0,248,1.3622522354125977
2,5,248,0,30,1.1053211688995361,10,2,31,1.0915775299072266,0,30,1.1053211688995361
2,6,30,6,237,1.1106904745101929,10,6,237,1.1106904745101929,0,236,1.0463145971298218
2,7,237,6,233,1.1482858657836914,10,4,232,1.1117043495178223,6,233,1.1482858657836914
2,8,233,6,234,1.073162317276001,10,3,235,1.0749043226242065,6,234,1.073162317276001
2,9,234,7,200,0.6783682107925415,10,7,200,0.6783682107925415
2,10,200,7,208,1.1223478317260742,10,1,209,1.1979656219482422,7,208,1.1223478317260742
2,11,208,7,145,1.0666557550430298,10,1,144,1.1465344429016113,7,145,1.0666557550430298
2,12,145,7,146,1.1023085117340088,10,5,147,1.1167449951171875,7,146,1.1023085117340088
2,13,146,7,148,0.6932165622711182,10,7,148,0.6932165622711182
2,14,148,7,227,0.7008936405181885,10,7,227,0.7008936405181885
2,15,227,7,151,1.3697047233581543,10,1,149,1.4747072458267212,5,150,1.3638179302215576,7,151,1.3697047233581543
2,16,151,7,152,0.7010287642478943,10,7,152,0.7010287642478943
2,17,152,7,154,1.1243572235107422,10,1,153,1.2035568952560425,7,154,1.1243572235107422
2,18,154,4,4,0.6592272520065308,10,4,4,0.6592272520065308
3,0,75,6,310,1.1000347137451172,10,4,309,1.1221867799758911,6,310,1.1000347137451172
3,1,310,6,237,1.1398954391479492,10,6,237,1.1398954391479492,0,236,1.0736974477767944
3,2,237,6,233,1.1482858657836914,10,4,232,1.1117043495178223,6,233,1.1482858657836914
3,3,233,6,234,1.073162317276001,10,3,235,1.0749043226242065,6,234,1.073162317276001
3,4,234,7,200,0.6783682107925415,10,7,200,0.6783682107925415
3,5,200,7,208,1.1223478317260742,10,1,209,1.1979656219482422,7,208,1.1223478317260742
3,6,208,7,145,1.0666557550430298,10,1,144,1.1465344429016113,7,145,1.0666557550430298
3,7,145,7,146,1.1023085117340088,10,5,147,1.1167449951171875,7,146,1.1023085117340088
3,8,146,7,148,0.6932165622711182,10,7,148,0.6932165622711182
3,9,148,7,227,0.7008936405181885,10,7,227,0.7008936405181885
3,10,227,7,151,1.3697047233581543,10,1,149,1.4747072458267212,5,150,1.3638179302215576,7,151,1.3697047233581543
3,11,151,7,152,0.7010287642478943,10,7,152,0.7010287642478943
